"año";"grupo_etario";"defunciones";"poblacion";"tasa_100k"
2020;"40-59";63;5022836;1,25427149124519
2020;"60-79";106;2849801;3,71955796211735
2020;"80+";18;548888;3,27935753742111
2021;"20-39";2;5942240;0,0336573413392929
2021;"40-59";59;5068399;1,1640756775463
2021;"60-79";137;2957905;4,63165652717041
2021;"80+";26;568961;4,56973325060944
2022;"20-39";4;5974801;0,0669478364216649
2022;"40-59";68;5122049;1,32759370322307
2022;"60-79";128;3067743;4,17244860472341
2022;"80+";23;588156;3,91052713905835
2022;"<20";1;4828826;0,0207089673556264
2023;"20-39";2;5992285;0,0333762496276462
2023;"40-59";51;5170589;0,986347976990629
2023;"60-79";151;3182952;4,74402378672377
2023;"80+";25;612312;4,08288584904428
2023;"<20";1;4798227;0,0208410314893397
